,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
count,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31836.0,31844.0,31447.0,31844.0,31844.0,31844.0
mean,158510.5695264414,158511.5695264414,18.424663986936313,1.2561864087426202,4.776252983293556,0.7790792613993217,3.1934744378846878,2.6192674959165725,65630.97792362768,7.258593824530162,3.2870870493656574,4888.7405476698905,3.6944165305866097
std,91959.84424905523,91959.84424905523,8.61431708506043,1.5374608292603218,3.0990961019904555,0.7507770598758214,1.1746493193298502,0.8700041488612582,38071.803844412025,4.702086785999184,1.7825747628251263,1092.4317861134496,2.1415928299360205
min,6.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1841.0,0.0
25%,78808.75,78809.75,11.0,0.0,2.0,0.0,2.0,2.0,32907.0,4.0,2.0,4193.0,2.0
50%,157908.0,157909.0,19.0,1.0,5.0,1.0,3.0,3.0,65283.0,8.0,3.0,4751.0,4.0
75%,238555.25,238556.25,26.0,2.0,7.0,1.0,4.0,3.0,98284.75,8.0,4.0,5411.0,6.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,24.0,4.0,131624.0,37.0,32.0,11008.0,7.0
count,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2159.0,2186.0,2186.0,2186.0
mean,194244.12122598354,194245.12122598354,17.989021043000914,1.4094236047575481,4.806953339432754,0.8577310155535224,3.224611161939616,2.8092406221408965,65390.748398902106,7.317276516905975,2.9441903019213176,4827.516010978957,0.0
std,94907.49334855317,94907.49334855317,9.12064413461136,1.5224582484972744,3.161013531899467,0.7879975913950882,1.2106914867941048,0.8922379082208113,37558.078400529615,4.818757063942654,1.5092682720731536,1170.796643245557,0.0
min,137.0,138.0,1.0,0.0,1.0,0.0,1.0,1.0,51.0,1.0,1.0,1841.0,0.0
25%,117148.5,117149.5,10.0,0.0,2.0,0.0,2.0,2.0,33073.0,4.0,2.0,4078.0,0.0
50%,210405.0,210406.0,21.0,1.0,4.5,1.0,3.0,3.0,64793.5,8.0,2.0,4654.0,0.0
75%,280099.5,280100.5,26.0,2.0,6.0,1.0,4.0,3.0,97571.25,8.0,4.0,5363.5,0.0
max,318347.0,318348.0,32.0,6.0,13.0,2.0,12.0,4.0,131594.0,34.0,16.0,10729.0,0.0
count,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4245.0,4246.0,4210.0,4246.0,4246.0,4246.0
mean,147828.78261893548,147829.78261893548,18.39048516250589,1.3784738577484692,4.695949128591615,0.7880357983984927,3.2826189354686766,1.9575971731448762,65569.3768252473,6.951543942992874,2.8923692887423456,4981.692180876119,1.0
std,89205.39176865059,89205.39176865059,8.972258981821817,1.5727952587466603,3.1494561882189167,0.7697508841753457,1.1164111773654133,0.20153013351349575,38229.22144560521,4.786486952330018,1.1131310444037446,1030.2997508507694,0.0
min,181.0,182.0,1.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,1.0,2056.0,1.0
25%,72381.75,72382.75,11.0,0.0,2.0,0.0,2.0,2.0,32025.75,2.0,2.0,4310.25,1.0
50%,144591.5,144592.5,21.0,1.0,4.0,1.0,3.0,2.0,65266.0,8.0,2.5,4812.0,1.0
75%,221965.25,221966.25,26.0,2.0,6.0,1.0,4.0,2.0,98719.5,8.0,4.0,5470.0,1.0
max,318135.0,318136.0,32.0,6.0,13.0,2.0,9.0,2.0,131623.0,37.0,12.0,10218.0,1.0
count,3331.0,3331.0,3331.0,3331.0,3331.0,3331.0,3331.0,3327.0,3331.0,3296.0,3331.0,3331.0,3331.0
mean,141041.4704293005,141042.4704293005,18.749024317021917,1.1912338637045932,4.992194536175322,0.8222755929150405,3.3383368357850496,1.565975353171025,65653.30471329931,7.214805825242719,3.2464725307715403,4721.477033923747,2.0
std,84551.98142436484,84551.98142436484,8.33322854581019,1.5689540546082041,3.009184991271534,0.7121399361012564,1.1920273675826998,0.49570264214995247,37784.98754475476,4.235335047766242,1.3566260538265105,1031.6598211059754,0.0
min,19.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,53.0,1.0,0.0,1890.0,2.0
25%,71267.5,71268.5,12.0,0.0,2.0,0.0,2.0,1.0,33917.0,5.0,2.0,4064.5,2.0
50%,137644.0,137645.0,19.0,1.0,5.0,1.0,3.0,2.0,64723.0,8.0,3.0,4589.0,2.0
75%,206966.0,206967.0,26.0,2.0,7.0,1.0,4.0,2.0,99077.5,8.0,4.0,5209.0,2.0
max,318124.0,318125.0,32.0,6.0,13.0,2.0,9.0,2.0,131581.0,37.0,12.0,10506.0,2.0
count,5555.0,5555.0,5555.0,5555.0,5555.0,5555.0,5555.0,5555.0,5555.0,5487.0,5555.0,5555.0,5555.0
mean,151312.02394239424,151313.02394239424,18.80918091809181,1.034923492349235,5.109450945094509,0.8077407740774077,3.283888388838884,2.1683168316831685,65451.92079207921,7.48204847822125,3.4826282628262826,4727.570477047705,3.0
std,89494.85721008565,89494.85721008565,7.798319022549258,1.4969194656545248,2.9210427566177346,0.6827082772124106,1.2122074439107255,0.6324589144171201,38346.02944361035,4.424148712376281,1.6979872019175815,1052.4346136368554,0.0
min,70.0,71.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,1.0,1.0,1929.0,3.0
25%,77081.0,77082.0,13.0,0.0,2.0,0.0,2.0,2.0,31920.0,5.0,2.0,4056.0,3.0
50%,145363.0,145364.0,19.0,0.0,6.0,1.0,3.0,2.0,65090.0,8.0,3.0,4613.0,3.0
75%,226995.5,226996.5,26.0,2.0,7.0,1.0,4.0,3.0,98186.5,8.0,4.0,5239.0,3.0
max,318356.0,318357.0,32.0,6.0,13.0,2.0,24.0,3.0,131555.0,35.0,20.0,10026.0,3.0
count,5141.0,5141.0,5141.0,5141.0,5141.0,5141.0,5141.0,5141.0,5141.0,5065.0,5141.0,5141.0,5141.0
mean,144836.70258704532,144837.70258704532,18.473448745380278,1.296634895934643,4.62127990663295,0.726512351682552,2.997276794397977,3.4518576152499514,65797.15891849835,7.116880552813425,3.5901575568955457,4965.083057770862,4.0
std,89557.52656200556,89557.52656200556,8.815749367868332,1.5059306741255751,3.178589364160791,0.7684787598696221,1.1113109546663327,0.4977253238590302,38313.08088025801,4.7605957051360255,2.277425246496822,1106.722722255261,0.0
min,68.0,69.0,1.0,0.0,1.0,0.0,0.0,3.0,64.0,1.0,1.0,1885.0,4.0
25%,63668.0,63669.0,11.0,0.0,2.0,0.0,2.0,3.0,32798.0,4.0,2.0,4262.0,4.0
50%,143186.0,143187.0,21.0,1.0,4.0,1.0,3.0,3.0,65204.0,8.0,3.0,4832.0,4.0
75%,221932.0,221933.0,26.0,2.0,6.0,1.0,4.0,4.0,98048.0,8.0,4.0,5507.0,4.0
max,318405.0,318406.0,32.0,6.0,13.0,2.0,9.0,4.0,131620.0,34.0,32.0,11008.0,4.0
count,2710.0,2710.0,2710.0,2710.0,2710.0,2710.0,2710.0,2710.0,2710.0,2688.0,2710.0,2710.0,2710.0
mean,187174.87158671586,187175.87158671586,18.160516605166052,1.4487084870848708,4.814022140221402,0.852029520295203,3.2623616236162363,2.63690036900369,66429.9926199262,7.214657738095238,2.9505535055350554,4836.7018450184505,5.0
std,95337.97927943384,95337.97927943384,9.192080451841756,1.580423155191836,3.18960724444523,0.7822466809960041,1.2218722941211813,0.821164746234029,37759.73062742484,4.768287129101996,1.4469037689841422,1156.8947871675307,0.0
min,106.0,107.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,1.0,1.0,2123.0,5.0
25%,106966.25,106967.25,10.0,0.0,2.0,0.0,2.0,2.0,34379.75,4.0,2.0,4081.25,5.0
50%,201150.5,201151.5,21.0,1.0,5.0,1.0,3.0,2.0,66983.0,8.0,2.0,4691.5,5.0
75%,276185.5,276186.5,26.0,2.0,6.0,1.0,4.0,3.0,98487.25,8.0,4.0,5377.5,5.0
max,318288.0,318289.0,32.0,6.0,13.0,2.0,11.0,4.0,131591.0,30.0,16.0,10506.0,5.0
count,4767.0,4767.0,4767.0,4767.0,4767.0,4767.0,4767.0,4766.0,4767.0,4707.0,4767.0,4767.0,4767.0
mean,159940.40696454793,159941.40696454793,18.220893643801134,1.3077407174323474,4.612964128382631,0.7172225718481225,3.0633522131319486,3.210868652958456,65337.592825676526,7.1848311026131295,3.3176001678204323,5072.761065659744,6.0
std,90341.65212225448,90341.65212225448,8.871115185801392,1.5282721248813003,3.1840625077181235,0.7809653294170109,1.1664699061215205,0.5957310540213985,37841.39715108764,4.840490015619763,2.0942517367674287,1097.3447482957254,0.0
min,8.0,9.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,2122.0,6.0
25%,81699.5,81700.5,11.0,0.0,2.0,0.0,2.0,3.0,32982.5,4.0,2.0,4369.0,6.0
50%,162677.0,162678.0,21.0,1.0,4.0,1.0,3.0,3.0,65125.0,8.0,3.0,4921.0,6.0
75%,238724.5,238725.5,26.0,2.0,6.0,1.0,4.0,4.0,97867.0,8.0,4.0,5594.0,6.0
max,318225.0,318226.0,32.0,6.0,13.0,2.0,21.0,4.0,131608.0,37.0,30.0,10218.0,6.0
count,3908.0,3908.0,3908.0,3908.0,3908.0,3908.0,3908.0,3906.0,3908.0,3835.0,3908.0,3908.0,3908.0
mean,171616.98439099285,171617.98439099285,18.25,1.1578812691914022,4.5655066530194475,0.7418116683725691,3.1962640736949846,2.940604198668715,65652.95649948822,7.589048239895697,3.4618730808597746,4904.846212896622,7.0
std,93746.92671402112,93746.92671402112,8.234481957896437,1.5133217207136247,3.0062740594818265,0.7370567255543529,1.1570402404908673,0.708503350173052,38240.34031225378,4.974539768849088,1.8610085231060833,1092.3496535889587,0.0
min,6.0,7.0,1.0,0.0,1.0,0.0,1.0,2.0,59.0,1.0,1.0,1951.0,7.0
25%,90671.75,90672.75,11.0,0.0,2.0,0.0,2.0,2.0,32632.75,5.0,2.0,4200.75,7.0
50%,177181.0,177182.0,19.0,0.5,5.0,1.0,3.0,3.0,65197.5,8.0,3.0,4782.5,7.0
75%,254099.5,254100.5,26.0,2.0,7.0,1.0,4.0,3.0,98595.0,8.0,4.0,5438.75,7.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,9.0,4.0,131624.0,37.0,24.0,10314.0,7.0
